_id,text,created_at,coordinates,source,geo
ObjectId(5728f308e6ad0c29540b2c98),"#WVPrimary
#CAPrimary
🚂#AlwaysTrump
🚂#TrumpTrain🚂
★#MakeAmericaGreatAgain★
🇺🇸#VoteTrump2016🇺🇸
★★JOBS★★IndianaPrimary https://t.co/YiykG5IbSF",2016-05-03T18:50:49.000Z,"",Twitter for iPhone,""
ObjectId(5728f308e6ad0c29540b2c99),"RT @DIYSpacex: Trump: Before going to Mars, America needs to fix its economy via /r/#space https://t.co/UpX7PC02DB",2016-05-03T18:50:49.000Z,"",Twitter for iPhone,""
ObjectId(5728f309e6ad0c29540b2c9a),Cruz’s Vice President (from @Truthdig) https://t.co/wIceyqlhzt,2016-05-03T18:50:49.000Z,"",Twitter Web Client,""
ObjectId(5728f309e6ad0c29540b2c9b),RT @KevinDarryl: Rachel Maddow defends Hillary Clinton against Donald Trump’s sexist attacks https://t.co/52wWUTdlRD via @dailynewsbin,2016-05-03T18:50:49.000Z,"",Twitter Web Client,""
ObjectId(5728f309e6ad0c29540b2c9c),RT @The_Trump_Train: Trump responds to Ted Cruz's recent outburst. #MakeAmericaGreatAgain https://t.co/0PbdenZcWR,2016-05-03T18:50:49.000Z,"",Twitter for iPhone,""
ObjectId(5728f309e6ad0c29540b2c9d),"RT @peddoc63: If it's Trump vs Hillary would you ""flee the sinking ship""
That's how I feel about Cruz vs Trump. Got it? Now shoo👋🏽 https://…",2016-05-03T18:50:49.000Z,"",Twitter for iPad,""
ObjectId(5728f309e6ad0c29540b2c9e),RT @jonlovett: It's hard to keep at the front of your mind that Trump is a national emergency.,2016-05-03T18:50:49.000Z,"",Twitter for iPad,""
ObjectId(5728f309e6ad0c29540b2c9f),"RT @Thomasismyuncle: Trump is already down big to Hillary &amp; thats before the Dems drop 2 billion in ""he's a racist, sexist POS"" ads... whil…",2016-05-03T18:50:49.000Z,"",Twitter for iPhone,""
ObjectId(5728f309e6ad0c29540b2ca0),"Losing ground, Republican Cruz slams Trump as 'pathological liar' - Channel News Asia https://t.co/g0PVGpVFSp",2016-05-03T18:50:49.000Z,"",Google,""
ObjectId(5728f309e6ad0c29540b2ca1),#AlAire la colaboración de @fhergarciav con @FerCrisanto sobre Día de la Santa cruz https://t.co/OVexKLe44j https://t.co/pPTnQWuFBf,2016-05-03T18:50:49.000Z,"",TweetDeck,""
ObjectId(5728f309e6ad0c29540b2ca2),RT @lexi4prez: me watching all the trump supporters  celebrate cinco de mayo https://t.co/qJxJkJFLAs,2016-05-03T18:50:49.000Z,"",Twitter for iPhone,""
ObjectId(5728f309e6ad0c29540b2ca3),@sfpathe https://t.co/GOrfo6fReC,2016-05-03T18:50:49.000Z,"",Twitter Web Client,""
ObjectId(5728f309e6ad0c29540b2ca4),⬇️ Pathological just like ➡️.       America deserves Better.          Vote Cruz ✔️🇺🇸 https://t.co/eyNNyhw1FQ,2016-05-03T18:50:49.000Z,"",Twitter for iPhone,""
ObjectId(5728f309e6ad0c29540b2ca5),"RT @benchmarkpol: Keep in mind that Lake County is the most important. If Lake truly has 50-55% turnout, its game over for Cruz/Sanders.",2016-05-03T18:50:50.000Z,"",Twitter Web Client,""
ObjectId(5728f309e6ad0c29540b2ca6),"RT @_PatJohnson_: Trump : On Second Thought, I Can't Eliminate National Debt in Eight Years  https://t.co/Pl3Jji2mmR #FlipFlop #Unstable #L…",2016-05-03T18:50:49.000Z,"",Twitter Web Client,""
ObjectId(5728f309e6ad0c29540b2ca7),@FrancImperator @tedcruz he is not going to help women or anybody else he is in it to win it for CREEPY CRUZ nobody and I mean nobody else,2016-05-03T18:50:50.000Z,"",Twitter for Android,""
